"author_name","author_url","language","original_language","profile_photo_url","rating","relative_time_description","text","time","translated","restaurant"
"Paola Es","https://www.google.com/maps/contrib/109881424070826686345/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocJ5kjYo2_1wb5QAzqJ6lXhw3pbfkAz5Y4QYOS1kMct4zpGP=s128-c0x00000000-cc-rp-mo",3.9,"2 weeks ago","If I could give the spot negative stars I would. It was my first time ordering and to be honest I threw out the entire order. I wouldn’t feed this ANYONE OR THING! Sancocho was SOOOOO nasty, Chicken was soooo nasty and the rice was hard as a rock!",1744329255,FALSE,"EL FOGON KITCHEN"
"Alex Oates","https://www.google.com/maps/contrib/116695347101817528932/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocKGGMQvVxRZHty1CpAQMe8TppxJfiFmFCLNte-ETVyraR9LaA=s128-c0x00000000-cc-rp-mo",3.9,"a year ago","The worst food I’ve had. The breakfast was old and clearly reheated. The fries smelled so bad. They were sopping wet in rotten oil and they were barely cooked. I gagged when I opened the bag. It was so pungent.",1713979302,FALSE,"EL FOGON KITCHEN"
"Tamarra Henderson","https://www.google.com/maps/contrib/116215596462848258872/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocK4oNBDTX3GDZtkIP1VkdCqJ8xEvqYfWKcq0dcThit5eKOMUw=s128-c0x00000000-cc-rp-mo-ba2",3.9,"a year ago","This is my go to spot on ubereats. The chicken chunks are so so good, the best I've had. And the rice is delicious. The pernil is also perfectly cooked
Other restaurants spanish food is usually hard or chewy but this is the best I've had. Yesterday 1/27 I spent $75 on ubereats and half of my order was missing and the restaurant acknowledged the error. Uber refused to give me a refund. Angel was so nice and offered to give me the missing food the next day or another day. Frank handled the situation and paid for me to get the missing food. That is customer service!",1706478586,FALSE,"EL FOGON KITCHEN"
"Fray R","https://www.google.com/maps/contrib/104012102065794381059/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjWR48p-IlFtR2fb9hTeyIoKcO1ssUF6rfN_TzzxpHDSZXL-ZSIg=s128-c0x00000000-cc-rp-mo-ba4",3.9,"a year ago","Not the preferred dominican food restaurant for sure.
I ordered Mangu with los tres Golpes. And I have to say that I'm certain that food can and might be reheated sometimes to minimize food waste but when the mangu has no taste because it has been reheated so many times, you need to think of the customer. I also got white rice with beans and pollo a la brasa and the chicken was also reheated.. t was an 11am order.. how can this be possible? Every item I ordered at 11am was reheated food. What can I expect if I order past 3pm? Just re re re reheated? Definitely not the place to go to if you're basing your decision on other people's opinion.",1705079035,FALSE,"EL FOGON KITCHEN"
"Lucellys Ortiz","https://www.google.com/maps/contrib/100282259791891310525/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjUdir4BdJqAzfRiRPScqcNKt7FnrfGYWjuxLnzujssRbdFWZOLq=s128-c0x00000000-cc-rp-mo",3.9,"a year ago","I ordered a fish soup (that I had to strain at home because of a personal reason) and my god !! That broth was super amazing thick & it arrived hot. Unfortunately their chinola juice seems to have gone bad , but nonetheless I loveddddddd my soup",1686881231,FALSE,"EL FOGON KITCHEN"
"Christopher","https://www.google.com/maps/contrib/109476891504846851689/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjWXJ7chCwRTG-gFmPEC76A5lZ9sUda3L4CwE83mEMS0QCli5j0v=s128-c0x00000000-cc-rp-mo-ba6",4.3,"a year ago","Wide variety of hot & cold sandwiches , pizza, calzones, Italian dishes, soups, burgers, salads & appetizers. Sells beer, chips, ice cream in a freezer. Had a chicken parm Sicilian slice, it was good.",1683407080,FALSE,"AUGIES DELI & PIZZERIA"
"Tyne Ivón","https://www.google.com/maps/contrib/116783388806975828524/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocIgJEtVnMOHdj8RNTSjfX3M4hwcn0NhRG4ClaXME08JdswkOA=s128-c0x00000000-cc-rp-mo",4.3,"a year ago","Shrimp wasn’t cleaned when I called to inform them it wasn’t cleaned there processed to tell me their kitchen is one of the cleanest on city island , I was there in 1.0 seconds this is disgusting 🤮",1706207321,FALSE,"AUGIES DELI & PIZZERIA"
"LA CASA DE TASHA","https://www.google.com/maps/contrib/115090743079032802043/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjWbxDGDv9yPCtawj-bSXSsGAo4tZvcZNpLmDVYHVYPiKT_AuZsZgw=s128-c0x00000000-cc-rp-mo-ba4",4.3,"3 years ago","This deli has a big menu; I decided to try the eggplant parmigiana and I’m speechless the flavor, texture and presentation was really good",1647405978,FALSE,"AUGIES DELI & PIZZERIA"
"Wormway _69","https://www.google.com/maps/contrib/107001951250508128098/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjV0-e1jNKvvF3uJ1Ptpz-aDVUzgR8T-hS56b9vT80582pTRZC0=s128-c0x00000000-cc-rp-mo-ba3",4.3,"2 years ago","Best place to eat after a long day of fishing",1664432015,FALSE,"AUGIES DELI & PIZZERIA"
"Faina Kremerman","https://www.google.com/maps/contrib/112627350866725269267/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocKPYbzXVzi74w7hUdX1mqfc2wDFSJrxMkAqD_Nf7ZE7rctVJg=s128-c0x00000000-cc-rp-mo-ba2",4.3,"a year ago","We only ordered catering service from them for our daughter wedding few years ago , and couple of times for the big gathering last year and this year. They have a great catering menu. The owner and stuff were always helpful with choice and quantity we needed. They also accommodate special requests regarding allergies and dietary restrictions. Food is absolutely delicious and prices are very reasonable. And they have pretty extensive menu. This is our place to go if we have a big gathering. They never disappoint! Definitely recommend. Just make sure that you talk to the owner or someone who handles catering.",1691161073,FALSE,"AUGIES DELI & PIZZERIA"
