"author_name","author_url","language","original_language","profile_photo_url","rating","relative_time_description","text","time","translated","restaurant"
"Andrew Wong","https://www.google.com/maps/contrib/113302171292905761024/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjWQfqIjIKWkIiwntbOlge8tHokYxyM78w8jXQwdOiBAx13H8XZd=s128-c0x00000000-cc-rp-mo-ba5",4.6,"9 months ago","Great neighborhood cafe vibe. This has quickly evolved into my favorite cafe in NYC. They do a really great job of foaming their espresso drinks, and I really like the croissant selection. I feel like I teleported to Europe when I'm here!

Super underrated spot in NYC.",1721488386,FALSE,"THE COPPOLA CAFE"
"L. Chu","https://www.google.com/maps/contrib/109909892893337036359/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjW-sLt6G68DTHolawOwVfujHz6m2LY3U5nMfkHvF51BlQj_zmBO=s128-c0x00000000-cc-rp-mo-ba7",4.6,"3 months ago","An Italian cafe with around 20 seats. Wifi available. Cafe quality is good but the price feels like bit higher than the competitors around.",1735574940,FALSE,"THE COPPOLA CAFE"
"Jordan Cooper","https://www.google.com/maps/contrib/117570317130874253524/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjUiOpmKmZt9pyhOki9-7FthDqlykDhutIMM9M0LVQqVnPARgScT=s128-c0x00000000-cc-rp-mo-ba4",4.6,"4 months ago","Just a really bad iced mocha. Espresso tastes too strong and weird like dirt, then gross generic sugary Monin syrup that doesn’t taste chocolatey. Disappointed. They were very nice though.",1734368101,FALSE,"THE COPPOLA CAFE"
"Boris Maillard","https://www.google.com/maps/contrib/109871999507473935384/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVS7UnLhQiFB9UAx9BmStWFkqYLe9eGZfWiS2Zk0Zb_5_bJHk0U=s128-c0x00000000-cc-rp-mo-ba5",4.6,"a year ago","Lovely place for a short coffee stop with your friends or family. Quick service, caring staff, large choice of pastries. Tea and hot chocolate (vegan option) available too. Support this small, woman-owned business, it really deserves it!",1703434865,FALSE,"THE COPPOLA CAFE"
"Gregor J. Rothfuss","https://www.google.com/maps/contrib/104819208193648646391/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXRmpDPyJb0s5YofZQA_Ta1i1IFHMU_TcKxuj5VRcZmRgMa6jgO=s128-c0x00000000-cc-rp-mo-ba8",4.6,"4 months ago","So many delicious croissants. I went with apricot. Lovely in the early morning when it isn't packed.",1732713610,FALSE,"THE COPPOLA CAFE"
"Olga Wadowska","https://www.google.com/maps/contrib/113626254616498377422/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVswh85KLZZAz2RuPHTmjwsHKqpDU61s4xqHRFMsG-vvofkJmKrUw=s128-c0x00000000-cc-rp-mo-ba3",4.5,"2 weeks ago","Amazing place! Great Colombian drip-coffee, very tasty pastries and Greek yogurt dessert- all accompanied by very friendly staff (shout out to the gentleman I had a brief convo about the coffee with :)) and very pleasing and welcoming design. 10/10 🖤",1744139476,FALSE,"PI GREEK BAKERIE"
"Talia Karasinski","https://www.google.com/maps/contrib/113290511230831704809/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVAm2iymgb8Utf_3B3vSjG3wsk81C4eSzkyaBX2EoXZJ9RUFlp2=s128-c0x00000000-cc-rp-mo-ba5",4.5,"3 weeks ago","Excellent spot for lunch with lots of seating and fresh salads, hot food and more. Everything looked so good. The baklava was amazing!",1743186464,FALSE,"PI GREEK BAKERIE"
"Juan Chavez","https://www.google.com/maps/contrib/104482821129304411444/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjU2KZZkGYbgDgbha7DcpghiIkw-rXX7UP4UQsBH_2KKW-ZGS0ZUCw=s128-c0x00000000-cc-rp-mo-ba6",4.5,"3 months ago","One of my favorite stores for pastries. Can’t go wrong with anything there but I really enjoy the baklavas. Good variety of food and drinks. Give them a try!",1736254848,FALSE,"PI GREEK BAKERIE"
"Stamos Soto","https://www.google.com/maps/contrib/107671974011264137463/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjWs4SAGQwMeOfMDCTwvoBupjkgctdp73sWD1_CHHwIz6vtmSL8x=s128-c0x00000000-cc-rp-mo-ba4",4.5,"2 months ago","Bakery is an understatement of the delicious hot meals they offer on top of the pastries. Tried the meatballs/ lemon potatoes, galaktobouriko (custard pie) and the zucchini pie... to die for. Greek coffee....spot on.
Being of greek decent...the meatballs and lemon  potatoes brought me back to when my dad used to cook for me as a child....thank you.",1738780059,FALSE,"PI GREEK BAKERIE"
"Jamie Rubadue","https://www.google.com/maps/contrib/112827574426683836228/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocKtj0KijBxiIofJwiA5v6eRXcT5PGSzjzMnS7g7UCWT2jangqc=s128-c0x00000000-cc-rp-mo",4.5,"4 months ago","So glad I came here. Delicious food, welcoming atmosphere and If they have this chocolate thing (pictured below) definitely get it, it was SO GOOD.",1734037826,FALSE,"PI GREEK BAKERIE"
