"zipcode","avg_AGI","avg_income"
10001,746644.166666667,754392.5
10002,532932.666666667,538514.833333333
10003,1403565.16666667,1418855
10004,165606.666666667,167496.666666667
10005,406463.333333333,409449.166666667
10006,137566.5,138714.166666667
10007,619035,624019.166666667
10009,533665.666666667,538708.833333333
10010,782537.5,790818
10011,1702276.83333333,1721578.66666667
10012,679950.333333333,686140.333333333
10013,1406155,1420506.5
10014,1304633.83333333,1316300.83333333
10016,1234712,1247088.16666667
10017,767300.333333333,773427.833333333
10018,457665.833333333,460501.666666667
10019,1482099,1494524
10021,2138129,2158097.66666667
10022,2621005,2637198.66666667
10023,2385796,2421620.5
10024,2070050.33333333,2099992.66666667
10025,1366845.5,1390359.66666667
10026,259344,262291.666666667
10027,376178.166666667,380594.666666667
10028,1865253.16666667,1885629.83333333
10029,381041.166666667,385261.166666667
10030,119305.5,120525.333333333
10031,245263.666666667,247932.666666667
10032,225269,227638.166666667
10033,240602.833333333,243776.666666667
10034,173059.833333333,174774.333333333
10035,154135.666666667,155548.666666667
10036,683082.666666667,689281.5
10037,96924.5,97615.6666666667
10038,403382.833333333,407263.5
10039,107260.666666667,108096.666666667
10040,181313,183253.5
10044,96527.8333333333,97281
10065,1466254.83333333,1478662.66666667
10075,1149539.83333333,1162497.16666667
10128,2307520.5,2333319.33333333
10280,188812.166666667,191102.166666667
10301,246113.5,248587.333333333
10302,86683.5,87168.8333333333
10303,113917.166666667,114497.5
10304,287336.166666667,289988.833333333
10305,236543.666666667,238407.5
10306,396278.333333333,399336.833333333
10307,133797.666666667,134932.333333333
10308,208769.166666667,209905
10309,282248.166666667,284276.666666667
10310,145811.666666667,146731.666666667
10312,486340.833333333,489625.5
10314,585814.833333333,589932.166666667
10451,169549.333333333,170749.166666667
10452,207332.833333333,209320.83335
10453,207838.5,209819.666683333
10454,93902.3333333333,94654.5
10455,109318.666666667,110133.000016667
10456,222594.833333333,224698.500016667
10457,189068.666666667,190899.666683333
10458,200355,202341.833333333
10459,127099.166666667,128106.166683333
10460,155777.333333333,157082.666683333
10461,245382.833333333,246959.333333333
10462,311035,313193
10463,427360.666666667,431725.666666667
10464,38006.5,38460.1666666667
10465,231776.666666667,232983.166666667
10466,252510.166666667,253875.5
10467,310016.333333333,312254.333333333
10468,216262.5,218167.166666667
10469,289498.833333333,291141.833333333
10470,77750.1666666667,78201.1666666667
10471,253672.833333333,256866
10472,175545.5,177186.5
10473,214966.666666667,216169.333333333
10474,28609.8333333333,28868.5
10475,209179.333333333,210026.333333333
11004,91397,92047.8333333333
11005,43579.1666666667,43889.6667
11101,622455.666666667,626677.166666667
11102,252386.333333333,254359.833333333
11103,241869,243892
11104,189812.166666667,191591
11105,258176,260616.5
11106,278041.333333333,280332.166666667
11201,1692574.16666667,1711931.5
11203,307758.333333333,309425.666666667
11204,397303.833333333,401687.166666667
11205,331187.666666667,335035.666666667
11206,377511.5,381048.666666667
11207,309690.5,311751.166666667
11208,290180,292247.333333333
11209,529930.333333333,535313.5
11210,433100.5,438811.333333333
11211,649436.833333333,655406.5
11212,244132.666666667,245488
11213,269940.166666667,272799
11214,363604.666666667,367291.333333333
11215,1131583,1148326.83333333
11216,400025,404163.333333333
11217,696572,705634
11218,441698.166666667,448350.833333333
11219,315031.833333333,318567.166666667
11220,326168.5,329316.833333333
11221,432754.166666667,436818.166666667
11222,500690.666666667,506230.833333333
11223,525130.5,531169.5
11224,177214.5,178890.166666667
11225,350191.333333333,353893.666666667
11226,505216,509574
11228,245252.333333333,247638.666666667
11229,459537.833333333,465086.333333333
11230,561558.166666667,569544.166666667
11231,611659.666666667,620926.666666667
11232,122454.166666667,123819
11233,301178.833333333,303440.666666667
11234,565713.166666667,570249
11235,474259.5,479678.833333333
11236,418992,420954
11237,215039,217169.333333333
11238,775066.666666667,783996.166666667
11239,63922.1666666667,64173.83335
11354,254162.833333333,257389.833333333
11355,298566.166666667,302693.666666667
11356,105337,106388.5
11357,331744.666666667,334898.833333333
11358,222358,224756.333333333
11360,179028.166666667,180949.833333333
11361,191202,193151.333333333
11362,146310.5,147727.833333333
11363,87055.3333333333,88233.6666666667
11364,243244,245548.333333333
11365,232126.833333333,234417
11366,89756.6666666667,90778.1666666667
11367,229843.833333333,232617
11368,294535.5,297433.833333333
11369,141508.166666667,142628.333333333
11370,125702.333333333,126808.333333333
11372,336973.666666667,340666.5
11373,374591.833333333,378179.166666667
11374,288965.333333333,291714.833333333
11375,701369.5,708919
11377,407671.5,411466.5
11378,189415.833333333,191008
11379,243654.166666667,245436.166666667
11385,494512.166666667,498802.666666667
11411,110904.833333333,111410.833333333
11412,177708.333333333,178568.666666667
11413,215258.833333333,216258.5
11414,185994.333333333,187223
11415,128875,130101.833333333
11416,92098.3333333333,92832.33335
11417,137258.333333333,138160.666666667
11418,156097.666666667,157579.333333333
11419,173971.333333333,175663
11420,202727.5,204342.166666667
11421,166514,167701.833333333
11422,163045.166666667,163746.333333333
11423,146452,147747.833333333
11426,115358.666666667,116208.333333333
11427,137225.166666667,138517.833333333
11428,95690.6666666667,96334.3333333333
11429,118841.166666667,119522.666666667
11432,269044.5,271703.5
11433,130156.833333333,130916.166666667
11434,287884,289176.166666667
11435,232288.166666667,233917
11436,84833.3333333333,85370.3333333333
11691,204997.5,207252.833333333
11692,78367.8333333333,78932
11693,61724.6666666667,62112.1666666667
11694,160831.333333333,162085.5
11697,49956,50284.5
