"author_name","author_url","language","original_language","profile_photo_url","rating","relative_time_description","text","time","translated","restaurant"
"Andrew Wong","https://www.google.com/maps/contrib/113302171292905761024/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjWQfqIjIKWkIiwntbOlge8tHokYxyM78w8jXQwdOiBAx13H8XZd=s128-c0x00000000-cc-rp-mo-ba5",4.6,"9 months ago","Great neighborhood cafe vibe. This has quickly evolved into my favorite cafe in NYC. They do a really great job of foaming their espresso drinks, and I really like the croissant selection. I feel like I teleported to Europe when I'm here!

Super underrated spot in NYC.",1721488386,FALSE,"THE COPPOLA CAFE"
"Senan Isaqov","https://www.google.com/maps/contrib/104868643514390354573/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjW6tY1glkgeL9iQnyDhm6Pbv0UZ2XvL1c8q_el7dCR9CAdeOdDD=s128-c0x00000000-cc-rp-mo",4.6,"a week ago","Best lemon cake and best coffee I had in NY for sure. I love the atmosphere there and the way the employees communicate with each other. Feels like home :) keep it like this please",1745090775,FALSE,"THE COPPOLA CAFE"
"L. Chu","https://www.google.com/maps/contrib/109909892893337036359/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjW-sLt6G68DTHolawOwVfujHz6m2LY3U5nMfkHvF51BlQj_zmBO=s128-c0x00000000-cc-rp-mo-ba7",4.6,"3 months ago","An Italian cafe with around 20 seats. Wifi available. Cafe quality is good but the price feels like bit higher than the competitors around.",1735574940,FALSE,"THE COPPOLA CAFE"
"Jordan Cooper","https://www.google.com/maps/contrib/117570317130874253524/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjUiOpmKmZt9pyhOki9-7FthDqlykDhutIMM9M0LVQqVnPARgScT=s128-c0x00000000-cc-rp-mo-ba4",4.6,"4 months ago","Just a really bad iced mocha. Espresso tastes too strong and weird like dirt, then gross generic sugary Monin syrup that doesn’t taste chocolatey. Disappointed. They were very nice though.",1734368101,FALSE,"THE COPPOLA CAFE"
"Boris Maillard","https://www.google.com/maps/contrib/109871999507473935384/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVS7UnLhQiFB9UAx9BmStWFkqYLe9eGZfWiS2Zk0Zb_5_bJHk0U=s128-c0x00000000-cc-rp-mo-ba5",4.6,"a year ago","Lovely place for a short coffee stop with your friends or family. Quick service, caring staff, large choice of pastries. Tea and hot chocolate (vegan option) available too. Support this small, woman-owned business, it really deserves it!",1703434865,FALSE,"THE COPPOLA CAFE"
"J D","https://www.google.com/maps/contrib/114434029811950927264/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocJeHvI-WJXhtRdXsvVzzuMkORknCkz17JU_N0D2RhiRGXEuBXs=s128-c0x00000000-cc-rp-mo-ba2",4.6,"2 months ago","Excellent cafe with a variety of home cooked style food! Tasty bakery and coffee, plus delicious baklava. Loved stuffed pepper, it’s a common dish enjoyed in Eastern Europe, so I felt happy to eat my familiar cuisine.",1738869635,FALSE,"PI GREEK BAKERIE"
"Alexa Eunji Lee","https://www.google.com/maps/contrib/115304179833040531178/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjWMWSC3LoEqwWPhLXKeSEQzDqMpJ8RCMB7W5SKJdqbUbqELe62m=s128-c0x00000000-cc-rp-mo-ba6",4.6,"10 months ago","Pie Bakery in NYC is a cozy and inviting destination that serves up a delectable selection of sweet and savory pies, satisfying the cravings of pie lovers across the city. Located in Soho this charming bakery exudes warmth and comfort, inviting guests to indulge in home like food. With a menu featuring classic pies, inventive savory pies, and other delicious treats, Pie Bakery offers something for everyone. Friendly service and reasonable pricing make it a beloved spot for locals and visitors alike, perfect for a leisurely breakfast or a sweet snack on the go.",1717867581,FALSE,"PI GREEK BAKERIE"
"Kenny Woo","https://www.google.com/maps/contrib/109861445845131080166/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVTAYhGrjmWRHid84ITrqfgtT44CQAPMY3jXWl8meGASwJdU_iO=s128-c0x00000000-cc-rp-mo-ba5",4.6,"a month ago","Delicious apple pie and classic greek dishes!",1741997291,FALSE,"PI GREEK BAKERIE"
"Olga Kontou","https://www.google.com/maps/contrib/112110515080953531699/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVpHowZsxyOP_pHD3QA1SIvCr6NVWgXaXEPB01v3uu1XW6gmsr3=s128-c0x00000000-cc-rp-mo",4.6,"2 months ago","Very nice place food was delicious. Greeks visiting NY that was a gem, we had pastitsio, gemista and zucchini pie(kolokythopita). Reasonable prices for full massive portions of authentic Greek! Lovely atmosphere too!",1740161883,FALSE,"PI GREEK BAKERIE"
"Rovshan Babayev","https://www.google.com/maps/contrib/100963826780784958913/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjUb1NtRceMoQzxmZBgrb7FXLBdSvMeKQCYon7pfQTsbYhxnwGPf=s128-c0x00000000-cc-rp-mo-ba5",4.6,"4 years ago","This was a delicious lunch I had after quarantine. Everything tastes great, coffee is good. Atmosphere in the bakery really good, everyone is super nice and helpful. This place has an incredible choose of Greek food",1593521650,FALSE,"PI GREEK BAKERIE"
"Havana","https://www.google.com/maps/contrib/113762091032619295787/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocJc7O5y3UgEJqLhIpboF7bz68EtsTwg5HY8KjKDBBio6kIdTQ=s128-c0x00000000-cc-rp-mo-ba5",4,"a week ago","Do not under rate this place/restaurant.

Must go in and try, food is excellent and well served. Staff are friendly.

Roasted pork/Duck with rice and wonton noodle soup is top.

Only small issue is that there is only one rest room.",1744582671,FALSE,"SUN SAI GAI RESTAURANT"
"Steph R","https://www.google.com/maps/contrib/115893003424189005709/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjU-l8V0kgRtSktChiDRyMf1v1WSyoahYXrUq7mb6E11GN9eP1Yqyw=s128-c0x00000000-cc-rp-mo-ba6",4,"2 months ago","Just know before you go. Hole in the wall. Real deal Chinese food. They barely speak English but the food is so good. Place is tiny and the server was super nice but he essentially changed our orders to ""better"" choices (he wasn't wrong). We wanted the lychee duck, the server changed it to regular half duck. We got pork lo mein. The Lo mein had a hint of tanginess. The pork was delicious moist perfectly seasoned, not salty. The noodles are the real deal not overly oily and not overcooked. The star of the show/meal was the duck! Holy moly the duck was out of this world melt in your mouth not gamey at all. The duck was the real deal so watch for small bone fragments.if you need to go to the bathroom this is not the place. This place was recommended by a local who's been in the area for decades so they know.",1738727376,FALSE,"SUN SAI GAI RESTAURANT"
"Frugal Cyclist","https://www.google.com/maps/contrib/113148947611018822952/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjX5NDw-24s_KVtW0-9yKcF7Jx-PlYPFiNy2ADr_QJaTBxv77P9N=s128-c0x00000000-cc-rp-mo-ba7",4,"5 months ago","A local shop serving simple food for as long as I can remember. We came here specifically for the roast duck. $18 for 1/2 duck

The place is not much to look at and I would have 2nd thoughts about bringing a date here. But the food & noodle soups are good. 👍

Also great value for the price & portion. Just bring your appetite",1731203510,FALSE,"SUN SAI GAI RESTAURANT"
