"author_name","author_url","language","original_language","profile_photo_url","rating","relative_time_description","text","time","translated","restaurant"
"Andre AJ Carter","https://www.google.com/maps/contrib/100685594243497883725/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjUpsqtYupdxgLaJpJigHUg3ENi_iQz75b4ZeT6MhYCFheJxqAHWXA=s128-c0x00000000-cc-rp-mo",3.8,"6 months ago","I ordered the stewed chicken with rice and beans. I didn't get a lot of chicken for the higher price charged. It was $15.00 for the larger container. The same size container everyone else charges $12.00 for. The lady serving the food did not speak English. I asked her how much she charged for it before she started making it. I said 3 times, but she kept making the plate. After she was done, she then went and got a co-worker who spoke English. I was upset, but since she made it already, I took the food. I order the same exact thing at other Spanish food restaurants, and I get 5 pieces of chicken. She only gave me 3 pieces. That's 5 pieces of chicken for $12.00 and 3 for $15.00. Hmm.
I couldn't eat it after a few bites due to the blandness of the food. It needed more seasoning. Even my mother commented on how she needed more salt, which was not on the tables. It was not the food experience I was looking for, and I would not be returning.",1729548812,FALSE,"MI CASA RESTAURANT"
"Sophia Forbes","https://www.google.com/maps/contrib/101347493007893102820/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVXSIYOQ47d3hbs9ttdhOFJUdrv9g3WJ5TTF9riJtOUa-t6d1y-=s128-c0x00000000-cc-rp-mo",3.8,"3 weeks ago","The food is very tasty . I had steak and onions with rice and beans, and my friend had pork chops with tostones. The price is very reasonable.",1743420056,FALSE,"MI CASA RESTAURANT"
"Sir Icky","https://www.google.com/maps/contrib/103140439475888799852/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjUPYiGzfuqzUTzx-8dAfAAqMnKa1Y_zX7Ax8S2chh83OdvXEagroQ=s128-c0x00000000-cc-rp-mo-ba5",3.8,"5 years ago","Nice comfy spot to enjoy some classic Dominican eats. Servers are always nice and friendly. Their roasted chicken is nice and juicy. The fries are crisp, and delicious. They have a wide selection of drinks. The mix/pick platter is nice however it’s kind of greasy. Beans and rice is done nicely. The bread pudding is good.",1573347368,FALSE,"MI CASA RESTAURANT"
"Jim Ryan","https://www.google.com/maps/contrib/110344283172678365745/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjWTVgAKhkpsRFPKcH803ki4fR3oc7x3BPYTVurLDTjq1EC0c3sBnw=s128-c0x00000000-cc-rp-mo-ba8",3.8,"2 years ago","Today is August 11th 2022, and the temperatures have broken so it's only like 85 degrees but it's still warm wife and I walk down from Kew gardens right by last call bar village diner down to mi casa. Is it night before it's very nice friendly sometimes the language differences English and Spanish my Spanish is not that good lead to issues but we've always had great food there had great food there today I had a Cuban my wife had some chicken dish food is great my wife also had Trace leches cake. I posted there latest venues in a few photos again a great place to go one caveat. When we walked in the door was open and the air conditioner was  not on they did turn it on while we were there but it was pretty warm to begin with. That's one of those things when you deal with a small local place and I have a smile on my face cuz they're really good.",1660254970,FALSE,"MI CASA RESTAURANT"
"Marie Perez","https://www.google.com/maps/contrib/113973209988795881826/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjWxoKkR7NWy8GVm_JeV71v7-zarkFwMUaZV4Z1-C-vScIHpspTZ=s128-c0x00000000-cc-rp-mo",3.8,"2 years ago","Went for lunch with my daughter the food was fresh and tasted great the drinks cold very clean fast service and very polite server's good music to listen to as well",1653684640,FALSE,"MI CASA RESTAURANT"
"Denisse Rodriguez","https://www.google.com/maps/contrib/110052708252075429925/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjUxAOPPY5YraUjKIMNRxit98xireWL6M9v_INtAb5qfklJzTgE=s128-c0x00000000-cc-rp-mo",4,"a month ago","I come to Tropical every Saturday! The music, food and service are all so so wonderful. This food reminds me of home. Now that I live away from my family, Tropical always reminds me that I can find home somewhere else. Jessie and Mafe are both so wonderful to me and my friends. We are always treated so well and with joy. I honestly can’t wait to come back next week!",1742688263,FALSE,"TROPICAL II RESTAURANT"
"Gabriela Machuca","https://www.google.com/maps/contrib/114449704358492760532/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjWZeC3vfBoPgrDKZIMZn4qNWJCvwTAJwjVJpAv3XdwQtd4xhFU=s128-c0x00000000-cc-rp-mo",4,"a month ago","So disheartening to see so many people leave reviews that aren’t 10/10. This place is INSANE. Food is 10/10. Cocktails??? 10/10. Atmosphere?! 10/10. The food here feels like it came straight from your mother’s kitchen. I come here once a week EVERY week just to eat right and feel like I visited home. Yesi always makes us feel like home, and Mafer hits me with the best drinks. There is literally no where else I go to feel like I’m close to home. Name one Ecuadorian spot that’s better than this. I’ll wait. Name one spot that has a better churrasco or pescado frito. Love you Tropical!!",1742688395,FALSE,"TROPICAL II RESTAURANT"
"andrea martinez","https://www.google.com/maps/contrib/113717873331772975600/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXdHFse8lsHF3TFWp1VZyffAFU7viy26aOAh4680kzqk5Z9SqM=s128-c0x00000000-cc-rp-mo",4,"a month ago","This place is amazinggg. I go every Saturday. The food, the vibe, and the music is impeccable. Highly recommend the fried fish and mojito (my fav). The fact that this place isn't 5 stars breaks my heart. As a South American it's been so hard to find a place that feels like home. Jessie and MaFer are literal angels and great us with the best energy every time!",1742688250,FALSE,"TROPICAL II RESTAURANT"
"Alfonso François","https://www.google.com/maps/contrib/102218829098120627211/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjUkcAsxWKOaz2XqrgQlh_RPXnJWSJ3D0eYvkSroKiFLzDd5jGc=s128-c0x00000000-cc-rp-mo",4,"3 weeks ago","I ordered from this place regularly until I realized they were changing the prices on their menu items. 1/2 pollo asado is $9.99 (cash; $10.39 by card) according to their menu, and it comes with your choice of side. I've ordered from them multiple times and am used to paying this. The last time they charged me $18 for the same platter, and when I asked why that is... they gave me a poor excuse, saying that the menu prices do not include the side (despite it showing clearly that it does). I'm not a fan of this kind of business, it's predatory. And that's a shame because their food is actually good.",1743697909,FALSE,"TROPICAL II RESTAURANT"
"Anonymous Anonymous","https://www.google.com/maps/contrib/101382952975152910426/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocJng47AIm3RSHqp4AdDJXREE7nMueS_ETX7q_klknCcxF3oWA=s128-c0x00000000-cc-rp-mo-ba3",4,"2 years ago","The food is good. The service is mediocre and your charged 20% regardless the number of people in your party. The food items are charged separately. In addition, there is a surcharge if you charge with your credit card. I suggest you go
elsewhere. The food is just not worth the price point of charges.",1655768627,FALSE,"TROPICAL II RESTAURANT"
