"author_name","author_url","language","original_language","profile_photo_url","rating","relative_time_description","text","time","translated","restaurant"
"Gigi Anthony","https://www.google.com/maps/contrib/106074606837708563164/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocKT4mU8cp8LXK-ftYjsWFvFHK-oSS5T5hkSw7tvv0NU7NEi-w=s128-c0x00000000-cc-rp-mo-ba2",3,"3 months ago","My son placed a online order twice and twice they messed up the order.  We ordered their specialty burger and they  didn't  even toast the bread. It was soggy and  disgusting.  It seems that they don't train them how to make their burgers and it makes me wonder what else they don't do right since they don't care what they serve to their customers.   The first time customer service gave us a store credit so we had to order again just to use it. I plan on calling them Monday and will not accept a store credit because we will not be eating at any Burger King again.  Oh and they didn't give us our onion rings either.  They should shut this one down since they don't know how to make their burgers.",1737243721,FALSE,"BURGER KING"
"Anthony Genrikh","https://www.google.com/maps/contrib/103527875007785978600/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocKTlJGpCV2JMxSRTsBeaLguaDnNP_OQ4Yxw1jlcHnNbrbY_jA=s128-c0x00000000-cc-rp-mo",3,"4 months ago","I ordered delivery from here twice and both times the order kept getting continuously delayed, until finally they were cancelled. Both times I waited well over an hour, only for the orders to get cancelled.

I'm not sure what's going on here, since I only live 10 minutes away, but I'm definitely not going to be ordering from here again.",1733604603,FALSE,"BURGER KING"
"Fred","https://www.google.com/maps/contrib/113993174442458291135/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocJtPkbK5sGLeOq7pWpA8KqJ0PrlFngnlGDmSVxKm264baYHAg=s128-c0x00000000-cc-rp-mo",3,"3 months ago","One of the best burger kings around always come here all workers are so nice and friendly and food is prepared fresh the way you like in front of you never any issues . Thank you guys ♥️",1736713852,FALSE,"BURGER KING"
"nick l","https://www.google.com/maps/contrib/110085055699006117022/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocIwHkcf21_BPgp1izeefDR-bAB4R64dZ71AafwkSD3W7VAfWg=s128-c0x00000000-cc-rp-mo",3,"6 months ago","Every single time I go to this location they mess up my order. I came in at 3am because I had a long drive home and nothing else was open. The cashier was rude and threw my receipt in front of me instead of handing it to me and then at the end when asking for my sauces threw the ketchup at the bag, half of them not going into it. Every time they get the order long. I always ask for a plain burger and everytime the same night shift worker gives me all the ingredients on the burger. This happens every time and if I ever try to get them to correct my order they give me an issue. They always act like what I said didn't happen.",1728028795,FALSE,"BURGER KING"
"Liza Besta","https://www.google.com/maps/contrib/105550692828669608305/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocIvGqR3eKw-6eeQo6F2b0NfA-gIx5tfBls5kJv5kLNQnDEDDdgm=s128-c0x00000000-cc-rp-mo-ba3",3,"3 months ago","Worst burger king ,employees are very rude not professional not polite food was very cold not cooked well and the milk shake was the worst not clean not recommended at all.",1735058226,FALSE,"BURGER KING"
"Lisa S","https://www.google.com/maps/contrib/108052460215023402857/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjVEydc4TBKcOZt2ONNky2tt7LpVtTId5crqgFYSJhqBZuX4OjdP4A=s128-c0x00000000-cc-rp-mo-ba7",4.1,"6 months ago","I stopped in for the first time this weekend, and I have to say that this is a pretty solid restaurant.

The staff is very welcoming when you enter and the service is pretty fast. Ashley was my server, and she was very attentive and friendly. I ordered the pumpkin pancakes special, which comes with a side of eggs made the way you want them. Those pancakes were so delicious and very filling where I could even finish them. They also make good coffee here as well. The prices here are great as my entire meal costs under $20. They have a decent sized menu, and the establishment is clean. They also have parking out front, but it can seem limited.

I didn't get a chance to try their baked goods, but I will be sure to check it out the next time I stop in.",1728773551,FALSE,"PERKINS RESTAURANT & BAKERY"
"Rachel H","https://www.google.com/maps/contrib/111142027047596773383/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocKt3i9-uvM8MY-Lw3GAKrZCRHrRFXO36HZLnozV9YNGKSMvzQ=s128-c0x00000000-cc-rp-mo-ba2",4.1,"a month ago","Love the food here . Service is great ..",1740865479,FALSE,"PERKINS RESTAURANT & BAKERY"
"Omnia Ghora","https://www.google.com/maps/contrib/105249431643369170114/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjX_ijkzyyPOikbcpg_iC1uLMPRg0N7pzMlgZ5UYclkxpQq_yR0M=s128-c0x00000000-cc-rp-mo",4.1,"5 months ago","Half of the hash browns were burnt. The avocado had a lot of dark black spots. And the presentation of the food was terrible. But the pancakes were okay",1731081299,FALSE,"PERKINS RESTAURANT & BAKERY"
"Alan Zee","https://www.google.com/maps/contrib/101084727597933408476/reviews","en","en","https://lh3.googleusercontent.com/a-/ALV-UjXhqky5NtkoTdjCnEaZrwIh4jjWHusJ3IIi4GedOFkZGTykDLjScw=s128-c0x00000000-cc-rp-mo-ba3",4.1,"a month ago","Anytime we come here the food is always good and so is the service! When eating here the atmosphere feels like you aren’t in the in the city. Definitely recommend coming here",1742583838,FALSE,"PERKINS RESTAURANT & BAKERY"
"Jessica Bailey","https://www.google.com/maps/contrib/101073648881907774949/reviews","en","en","https://lh3.googleusercontent.com/a/ACg8ocKOFjq-Jw5IsobQdk_U9ve7rtKmoWw1WUTBsobQzqz5uyUfWw=s128-c0x00000000-cc-rp-mo-ba4",4.1,"a year ago","IF I COULD I WOULD GIVE A -5 STARS

Ordered desserts for delivery and I ordered a caramel apple slice and a peanut butter pie slice and one brownie. They sent two peanut butter pies. The brownie was so old and stale that as you can see in the videos it was near impossible to break. ABSOLUTELY DISGUSTING they would send that because I know you could feel how hard it was when you picked it up to put it into the container. I will never order from here again. Absolutely ridiculous. Perkins USED to be pretty good that brownie was hard as a rock. Like I could have thrown it at someone && knocked them clean out.
They ought to be ashamed of themselves. Never again tho Perkins.",1701705651,FALSE,"PERKINS RESTAURANT & BAKERY"
