"violation.code","violation.description"
"",""
"09B","Thawing procedure improper."
"04L","Evidence of mice or live mice in establishment's food or non-food areas."
"02B","Hot food item not held at or above 140º F."
"10H","Proper sanitization not provided for utensil ware washing operation."
"02B","Hot TCS food item not held at or above 140 °F."
"04M","Live roaches in facility's food or non-food area."
"09B","Thawing procedures improper."
"03G","Raw food not properly washed prior to serving."
"09E","Wash hands sign not posted near or above hand washing sink."
"09C","Food contact surface not properly maintained."
"20F","Current letter grade sign not posted."
"15F6","Workplace SFAA policy not prominently posted in workplace"
"06F","Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses."
"04M","Live roaches present in facility's food and/or non-food areas."
"10J","Hand wash sign not posted"
"22F","MISBRANDED AND LABELING"
"03I","Juice packaged on premises with no or incomplete label, no warning statement"
"20-06","Current letter grade or Grade Pending card not posted"
"15-37","Workplace SFAA policy not prominently posted in workplace."
"20-06","Current letter grade or ""Grade Pending"" card not posted."
"08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests."
"04K","Evidence of rats or live rats in establishment's food or non-food areas."
"20-08","Failure to post or conspicuously post healthy eating information"
"15F1","Ashtrays in smoke-free area"
"06F","Wiping cloths soiled or not stored in sanitizing solution."
"10C","Lighting Inadequate"
"16C","Required calorie information not posted/improperly posted."
"10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit."
"08C","Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used."
"02G","Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation."
"08C","Pesticide not properly labeled or used by unlicensed individual.  Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used."
"10F","Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit."
